alpha,makespan,labor_cost
0.3,259.4743275939121,575135.9961501972
0.3,261.7094444936861,571403.71231412
0.3,229.22361255727705,645441.3424382213
0.3,228.94049899567915,648106.4040688872
0.3,243.93151480900167,601913.5750413588
0.3,239.34726237359467,613074.138012476
0.3,263.8937872672689,567988.163413993
0.3,249.73291326667896,589274.828681014
0.3,234.48979545557168,625297.3012205623
0.3,238.21064725988873,615328.3794395464
0.3,237.12035861020524,618222.8945579937
0.3,239.54718015237023,612469.9583164502
0.3,244.1234376274729,600135.2569958655
0.3,225.6626331854092,662862.9600756409
0.3,236.1220396721169,620695.7969492001
0.3,262.6792986690506,569797.9564730077
0.3,252.98368022135915,584695.7123731237
0.3,227.16364609619603,655563.3236400599
0.3,245.24515641416346,598182.6407257867
0.3,258.7353018052483,577092.3470263937
0.3,230.59488316990607,639732.1246257827
0.3,268.8448405720202,564651.2350323566
0.3,230.94745316865098,639251.4206982556
0.3,247.64837936008203,593514.2810724084
0.3,226.33512866365058,657521.8427365223
0.3,242.05016171998335,605288.0063266249
0.3,221.7747106557802,683923.8245922248
0.3,244.0926466482776,601403.2373870787
0.3,232.1606852343917,634078.5607186457
0.3,262.0779299771619,571089.9598326166
0.3,233.1569161757353,630410.1913490724
0.3,263.349684114913,569249.1024625959
0.3,248.4399654663069,591721.7110826493
0.3,227.0562485082671,655671.2885333564
0.3,230.49509463875515,640753.2672000811
0.3,254.4947349965381,581724.102923556
0.3,225.88294264036628,661619.3511892954
0.3,241.50157252795285,607284.731831766
0.3,260.8921446882425,572691.3618052164
0.3,237.2233319758203,618141.1890921614
0.3,248.01573415384965,592568.0316064508
0.3,249.35295519144853,590069.1298655502
0.3,224.90241043741466,665877.3005989065
0.3,223.23925244143086,675661.1751554247
0.3,259.80195764140376,574824.6541723439
0.3,256.40874969664685,578808.1228907058
0.3,232.3833500645751,632656.7459903707
0.3,263.4261554133682,568924.3541741786
0.3,260.40825463181125,573030.6254992753
0.3,264.32195562112656,567623.6073967423
0.3,269.30873033245877,564207.0186819376
0.3,230.60606994061743,639515.5104035134
0.3,228.15136474307306,650739.4528088011
0.3,232.8846389950998,631500.9327913783
0.3,262.1751391941706,570448.9858778232
0.3,246.7195868691027,595846.0406111659
0.3,230.05407926831407,642460.7606679464
0.3,255.5362480132236,579754.1002856547
0.3,237.25710392775636,617940.8263830048
0.3,231.51715723013066,636930.662165646
0.3,251.2341599699051,586799.7598736694
0.3,228.4328449910656,650053.1736853222
0.3,268.51303583581125,565141.657855268
0.3,235.74003689330067,622621.3676119124
0.3,238.136025571487,615744.2496094488
0.3,232.2139358196261,633284.8144740444
0.3,236.55768780361643,619567.6294526707
0.3,265.5377466178476,567547.5693187024
0.3,256.51543725516484,578628.3384569313
0.3,232.0173513363408,634629.7731507549
0.3,239.76494179200998,611427.3616321563
0.3,225.41243855280888,663187.0389319004
0.3,239.65643041927757,612171.340445929
0.3,245.71315270496567,597094.1096268229
0.3,227.43801942325675,654562.2987073928
0.3,221.64903309611967,686431.0290348534
0.3,223.3084679656704,674947.5015761319
0.3,229.86501808016413,643353.1797591982
0.3,230.09183912889355,642401.8869084974
0.6,275.85995422849595,535934.9241495745
0.6,187.12521848102966,643927.3481883266
0.6,188.40537200348788,634952.8867928775
0.6,188.1030347579488,636599.8008397339
0.6,187.29024158530777,641315.4734166499
0.6,190.99564691601947,627380.086973994
0.6,188.03507004327412,637176.9796730765
0.6,195.66287040287315,612861.2640893504
0.6,195.388517284841,614145.3171136221
0.6,198.93927610435557,605621.1116568779
0.6,204.01718103503373,597339.0353150712
0.6,207.27723446208228,592752.5627004439
0.6,187.29947925834236,639236.0342857853
0.6,271.0772607778715,537323.9584163546
0.6,190.9540032561728,629299.4673344506
